Unnamed: 0.1,Unnamed: 0,Year,Month,Day,Hour,Minute,Sensor,Orbit,Latitude,Longitude,Optical_Depth_047,Optical_Depth_055
33995,3074670,2023,2,14,8,30,Aqua,3,28.64166641235352,77.19613647460938,0.662,0.511
33996,3074671,2023,2,14,8,30,Aqua,3,28.64166641235352,77.18663787841797,0.627,0.484
33997,3074672,2023,2,14,8,30,Aqua,3,28.64166641235352,77.17713928222656,0.607,0.469
33998,3074673,2023,2,14,8,30,Aqua,3,28.64166641235352,77.16764831542969,0.606,0.468
33999,3074674,2023,2,14,8,30,Aqua,3,28.64166641235352,77.15814971923828,0.632,0.489
34000,3074675,2023,2,14,8,30,Aqua,3,28.64166641235352,77.1486587524414,0.63,0.487
34001,3074676,2023,2,14,8,30,Aqua,3,28.64166641235352,77.13916015625,0.621,0.48
34002,3074677,2023,2,14,8,30,Aqua,3,28.64166641235352,77.12966918945312,0.606,0.468
34088,3075866,2023,2,14,8,30,Aqua,3,28.63333320617676,77.22798156738281,1.03,0.8170000000000001
34089,3075867,2023,2,14,8,30,Aqua,3,28.63333320617676,77.2184829711914,0.983,0.769
34090,3075868,2023,2,14,8,30,Aqua,3,28.63333320617676,77.20899200439453,0.888,0.6940000000000001
34091,3075869,2023,2,14,8,30,Aqua,3,28.63333320617676,77.19949340820312,0.801,0.626
34092,3075870,2023,2,14,8,30,Aqua,3,28.63333320617676,77.19000244140625,0.725,0.56
34093,3075871,2023,2,14,8,30,Aqua,3,28.63333320617676,77.18051147460938,0.666,0.514
34094,3075872,2023,2,14,8,30,Aqua,3,28.63333320617676,77.17101287841797,0.627,0.484
34095,3075873,2023,2,14,8,30,Aqua,3,28.63333320617676,77.1615219116211,0.59,0.456
34096,3075874,2023,2,14,8,30,Aqua,3,28.63333320617676,77.15202331542969,0.602,0.465
34097,3075875,2023,2,14,8,30,Aqua,3,28.63333320617676,77.14253234863281,0.593,0.458
34098,3075876,2023,2,14,8,30,Aqua,3,28.63333320617676,77.1330337524414,0.598,0.462
34099,3075877,2023,2,14,8,30,Aqua,3,28.63333320617676,77.12354278564453,0.6,0.463
34181,3077066,2023,2,14,8,30,Aqua,3,28.625,77.22184753417969,0.995,0.777
34182,3077067,2023,2,14,8,30,Aqua,3,28.625,77.21235656738281,0.942,0.736
34183,3077068,2023,2,14,8,30,Aqua,3,28.625,77.20286560058594,0.854,0.668
34184,3077069,2023,2,14,8,30,Aqua,3,28.625,77.19336700439453,0.789,0.617
34185,3077070,2023,2,14,8,30,Aqua,3,28.625,77.18387603759766,0.741,0.5730000000000001
34186,3077071,2023,2,14,8,30,Aqua,3,28.625,77.17437744140625,0.677,0.523
34187,3077072,2023,2,14,8,30,Aqua,3,28.625,77.16488647460938,0.631,0.487
34188,3077073,2023,2,14,8,30,Aqua,3,28.625,77.1553955078125,0.583,0.45
34189,3077074,2023,2,14,8,30,Aqua,3,28.625,77.1458969116211,0.594,0.459
34190,3077075,2023,2,14,8,30,Aqua,3,28.625,77.13640594482422,0.578,0.447
34191,3077076,2023,2,14,8,30,Aqua,3,28.625,77.12691497802734,0.587,0.454
34277,3078265,2023,2,14,8,30,Aqua,3,28.61666679382324,77.22521209716797,0.905,0.707
34278,3078266,2023,2,14,8,30,Aqua,3,28.61666679382324,77.2157211303711,0.923,0.721
34279,3078267,2023,2,14,8,30,Aqua,3,28.61666679382324,77.20623016357422,0.91,0.711
34280,3078268,2023,2,14,8,30,Aqua,3,28.61666679382324,77.19673156738281,0.841,0.657
34281,3078269,2023,2,14,8,30,Aqua,3,28.61666679382324,77.18724060058594,0.788,0.616
34282,3078270,2023,2,14,8,30,Aqua,3,28.61666679382324,77.17774963378906,0.731,0.5640000000000001
34283,3078271,2023,2,14,8,30,Aqua,3,28.61666679382324,77.16825866699219,0.676,0.522
34284,3078272,2023,2,14,8,30,Aqua,3,28.61666679382324,77.15876007080078,0.646,0.499
34285,3078273,2023,2,14,8,30,Aqua,3,28.61666679382324,77.1492691040039,0.609,0.47
34286,3078274,2023,2,14,8,30,Aqua,3,28.61666679382324,77.13977813720703,0.6,0.464
34287,3078275,2023,2,14,8,30,Aqua,3,28.61666679382324,77.13028717041016,0.5740000000000001,0.443
34288,3078276,2023,2,14,8,30,Aqua,3,28.61666679382324,77.12078857421875,0.5760000000000001,0.445
34363,3079464,2023,2,14,8,30,Aqua,3,28.608333587646484,77.22857666015625,0.8180000000000001,0.639
34364,3079465,2023,2,14,8,30,Aqua,3,28.608333587646484,77.21908569335938,0.853,0.667
34365,3079466,2023,2,14,8,30,Aqua,3,28.608333587646484,77.2095947265625,0.874,0.683
34366,3079467,2023,2,14,8,30,Aqua,3,28.608333587646484,77.20010375976562,0.881,0.6890000000000001
34367,3079468,2023,2,14,8,30,Aqua,3,28.608333587646484,77.19061279296875,0.8260000000000001,0.646
34368,3079469,2023,2,14,8,30,Aqua,3,28.608333587646484,77.18111419677734,0.803,0.628
34369,3079470,2023,2,14,8,30,Aqua,3,28.608333587646484,77.17162322998047,0.739,0.5710000000000001
34370,3079471,2023,2,14,8,30,Aqua,3,28.608333587646484,77.1621322631836,0.7020000000000001,0.542
34371,3079472,2023,2,14,8,30,Aqua,3,28.608333587646484,77.15264129638672,0.654,0.505
34372,3079473,2023,2,14,8,30,Aqua,3,28.608333587646484,77.14315032958984,0.624,0.482
34373,3079474,2023,2,14,8,30,Aqua,3,28.608333587646484,77.13365936279297,0.604,0.466
34374,3079475,2023,2,14,8,30,Aqua,3,28.608333587646484,77.1241683959961,0.581,0.449
34449,3080665,2023,2,14,8,30,Aqua,3,28.600000381469727,77.21295928955078,0.881,0.6890000000000001
34450,3080666,2023,2,14,8,30,Aqua,3,28.600000381469727,77.2034683227539,0.912,0.713
34451,3080667,2023,2,14,8,30,Aqua,3,28.600000381469727,77.19397735595703,0.928,0.725
34452,3080668,2023,2,14,8,30,Aqua,3,28.600000381469727,77.18448638916016,0.873,0.682
34453,3080669,2023,2,14,8,30,Aqua,3,28.600000381469727,77.17499542236328,0.838,0.655
34454,3080670,2023,2,14,8,30,Aqua,3,28.600000381469727,77.1655044555664,0.773,0.604
34455,3080671,2023,2,14,8,30,Aqua,3,28.600000381469727,77.15601348876953,0.732,0.5660000000000001
34456,3080672,2023,2,14,8,30,Aqua,3,28.600000381469727,77.14652252197266,0.674,0.521
34457,3080673,2023,2,14,8,30,Aqua,3,28.600000381469727,77.13703155517578,0.641,0.495
34458,3080674,2023,2,14,8,30,Aqua,3,28.600000381469727,77.1275405883789,0.616,0.476
